# PA_IK.ik golden vectors
# 由 tools/golden/gen_golden.py 从 micropython/PA_IK.py 直接 exec 生成
# 列: case,l1,l2,x1,x2,x3,x4,y1,y2,y3,y4,ham1,ham2,ham3,ham4,shank1,shank2,shank3,shank4
case,l1,l2,x1,x2,x3,x4,y1,y2,y3,y4,ham1,ham2,ham3,ham4,shank1,shank2,shank3,shank4
0,130.000000,138.000000,0.000000,0.000000,0.000000,261.000000,-140.000000,-9.500000,-266.500000,0.000000,28.662216685,-56.245318354,83.756174831,166.471013748,117.098293613,177.808191796,12.135088135,26.260085746
0,130.000000,138.000000,-261.000000,5.000000,-5.000000,60.000000,0.000000,-140.000000,-140.000000,-100.000000,-13.528986252,30.726974518,26.636157540,53.162753314,26.260085746,117.053458026,117.053458026,128.516682274
0,130.000000,138.000000,-60.000000,100.000000,-100.000000,67.719320,-100.000000,-180.000000,-180.000000,-67.306257,-8.764759750,77.811980413,19.702772214,61.486562148,128.516682274,79.634136301,79.634136301,138.392703113
0,130.000000,138.000000,-182.925677,247.899731,-49.600471,-92.315133,-104.325884,-77.096482,-127.410511,-31.292270,-9.879048686,147.906229227,6.475171233,-54.398600639,76.457833656,28.759333823,118.736300189,137.474476706
0,130.000000,138.000000,88.342607,-241.699722,18.833172,-88.746503,-142.182449,-62.744510,-92.641301,-240.098495,68.334960680,-7.413645194,27.535021925,51.947306429,102.758368114,42.598901403,138.824865237,34.472977696
0,130.000000,138.000000,-202.184485,-122.434354,113.803193,-124.774380,-53.301934,-63.753492,-175.023308,-81.779308,-25.345132529,-34.382376550,82.802545672,-25.525536062,77.483955809,118.080840043,77.705238457,112.425381350
0,130.000000,138.000000,93.362713,34.217739,-211.722314,-160.080272,-160.539646,-77.931171,-76.806206,-156.355462,72.238251022,37.029885536,-14.000049735,9.792635477,92.323168979,143.119135700,65.671268673,66.810270440
0,130.000000,138.000000,188.975571,-142.442811,242.061852,-12.380720,-76.671087,-219.043998,-86.136359,-55.472115,115.984561456,43.715803574,143.372172752,-8.365393105,80.946070926,25.716256561,33.064703759,155.748211998
0,130.000000,138.000000,25.735781,-228.598504,38.495283,154.512503,-80.012338,-30.330414,-188.161350,-157.144903,30.842329618,-24.102896289,55.649571463,98.632445992,143.600284961,61.294918853,88.494646174,69.399051868
0,130.000000,138.000000,49.777898,-212.089242,136.060343,16.180282,-216.156314,-103.287474,-116.425556,-133.197233,67.650183579,-3.299521053,89.439806056,33.965686738,68.315677611,56.686223387,96.202660130,120.001282623
0,130.000000,138.000000,-66.487950,-46.601040,30.081244,-213.072844,-248.756706,-190.870029,-166.768800,-58.956642,58.434554338,31.817095100,47.317718916,-20.142884916,32.214574598,85.749980350,101.620557659,68.873917566
0,130.000000,138.000000,-205.268858,-152.878920,97.628862,-108.024410,-60.664779,-138.229194,-99.293799,-101.848308,-21.840134800,0.944063839,72.963523370,-15.655825524,74.030479254,79.505418492,117.474450694,112.795824991
0,130.000000,138.000000,181.089082,-22.770762,-27.959170,-43.753601,-41.883791,-244.907787,-71.848716,-24.916515,119.084190063,60.539822081,-10.335344979,-58.627187507,92.230583548,46.815810572,146.732819210,158.610974522
0,130.000000,138.000000,-94.834367,167.737686,-133.238473,-57.969195,-88.555607,-174.539676,-30.139345,-206.766424,-21.144139749,107.626844481,-49.541179806,36.292742080,122.178765752,50.843633805,118.796004498,73.536118553
0,130.000000,138.000000,20.890352,72.483029,173.030741,102.359955,-33.185646,-88.724288,-130.715979,-191.501783,28.781120594,60.880572727,105.683783447,80.987080485,163.521682946,129.491152819,72.008773262,71.800140523
0,130.000000,138.000000,-2.765221,37.506912,-55.430580,-77.475436,-206.811844,-42.894688,-206.848279,-121.087047,48.314592113,45.434987407,36.731555439,-2.907945065,79.018611974,155.684978095,73.958645495,115.204452561
0,130.000000,138.000000,109.781749,12.044214,-4.090264,121.058279,-208.626575,-262.175998,-167.759186,-20.065641,88.415818983,80.593277833,35.207188457,104.464835786,56.825737053,23.366680751,102.529888054,125.599393084
