# PA_AVGFILT.avg_filiter golden vectors
# 由 tools/golden/gen_golden.py 从 micropython/PA_AVGFILT.py 直接 exec 生成
# ⚠️ 这是一串**调用序列**：同一 window 的行必须按 step 递增顺序喂给同一个滤波器实例
# 列: window,step,in,out
# window = 窗口大小 = len(cache_data) - 3
# out 是整数（Python 的 // 向下取整）
window,step,in,out
# PA_STABLIZE / PA_AVGFILT 默认用法 -> 窗口 2 (cache len=5)
2,0,0,0
2,1,10,5
2,2,20,15
2,3,30,25
2,4,-5,12
2,5,-25,-15
2,6,100,37
2,7,7,53
2,8,-7,0
2,9,0,-4
2,10,32767,16383
2,11,-32768,-1
2,12,-1020,-16894
2,13,-2699,-1860
2,14,-1440,-2070
2,15,-2363,-1902
2,16,-2628,-2496
2,17,2878,125
2,18,-1710,584
2,19,105,-803
2,20,-143,-19
2,21,-1460,-802
2,22,2903,721
2,23,-292,1305
2,24,-321,-307
2,25,-2424,-1373
2,26,-70,-1247
2,27,-651,-361
2,28,2748,1048
2,29,-2432,158
2,30,322,-1055
2,31,1630,976
2,32,-1374,128
2,33,-2772,-2073
2,34,1493,-640
2,35,2341,1917
2,36,1115,1728
2,37,-1378,-132
2,38,2250,436
2,39,477,1363
2,40,-660,-92
2,41,806,73
2,42,1393,1099
2,43,2866,2129
2,44,1734,2300
2,45,1172,1453
2,46,2350,1761
2,47,-1973,188
2,48,-2714,-2344
2,49,1872,-421
2,50,554,1213
2,51,-2539,-993
2,52,-822,-1681
2,53,-1460,-1141
2,54,1780,160
2,55,475,1127
2,56,1583,1029
2,57,1666,1624
2,58,1805,1735
2,59,1045,1425
2,60,-1329,-142
2,61,-1504,-1417
2,62,2103,299
2,63,-1605,249
2,64,2813,604
2,65,-2491,161
2,66,2508,8
2,67,-1869,319
2,68,1345,-262
2,69,-324,510
2,70,245,-40
2,71,2674,1459
2,72,135,1404
2,73,-2628,-1247
2,74,-1420,-2024
2,75,-1411,-1416
2,76,2861,725
2,77,-2666,97
2,78,636,-1015
2,79,2984,1810
2,80,-1992,496
2,81,995,-499
2,82,2175,1585
2,83,-2627,-226
2,84,2042,-293
2,85,868,1455
2,86,-655,106
2,87,2497,921
2,88,-1458,519
2,89,367,-546
2,90,-1906,-770
2,91,-2683,-2295
2,92,-1488,-2086
2,93,-391,-940
2,94,130,-131
2,95,-2933,-1402
2,96,-2976,-2955
2,97,-1967,-2472
2,98,714,-627
2,99,1399,1056
2,100,-1097,151
2,101,-1708,-1403
2,102,168,-770
